"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"울산광역시 중구",울산광역시 중구 곽남8길31 백조탕앞사거리,울산광역시 중구 남외동 58-1 백조탕앞사거리,생활방범,1,200,360°(전방향),30,2018-06,052-290-3203,35.582392,129.344496,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남8길9 오렌지어린이집앞,울산광역시 중구 남외동 28-21 오렌지어린이집앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.572684,129.340474,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남9길15 태화슈퍼,울산광역시 중구 남외동 64-9 태화슈퍼,생활방범,1,130,360°(전방향),30,2018-06,052-290-3203,35.573412,129.342627,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남길10 새마을금고앞[옛유진약국],울산광역시 중구 남외동 434-25 새마을금고앞[옛유진약국],생활방범,1,200,360°(전방향),30,2018-04,052-290-3203,35.568926,129.342699,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남길27 성경아파트앞,울산광역시 중구 약사동 625-11 성경아파트앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.567801,129.341001,2020-03-13
"울산광역시 중구",울산광역시 중구 교동108 일원 10소공원,울산광역시 중구 교동108 일원 10소공원,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.555251,129.317989,2020-03-13
"울산광역시 중구",울산광역시 중구 교동131 제2장애인체육관옆 소공원,울산광역시 중구 교동131 제2장애인체육관옆 소공원,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.563472,129.316405,2020-03-13
"울산광역시 중구",울산광역시 중구 교동281 학교서편 양사초등학교,울산광역시 중구 교동281 학교서편 양사초등학교,어린이보호,2,100,360°(전방향),30,2018-01,052-290-3203,35.553742,129.318826,2020-03-13
"울산광역시 중구",울산광역시 중구 교동405-31 교동목살숯불구이,울산광역시 중구 교동405-31 교동목살숯불구이,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.553842,129.327339,2020-03-13
"울산광역시 중구",울산광역시 중구 교동60 일원 9소공원,울산광역시 중구 교동60 일원 9소공원,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.555751,129.324336,2020-03-13
"울산광역시 중구",울산광역시 중구 구교10길34 울산여중남동,울산광역시 중구 반구동 53-1 울산여중남동,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.564002,129.339316,2020-03-13
"울산광역시 중구",울산광역시 중구 구교12길15 광토빌리지 사거리,울산광역시 중구 반구동 45-22 광토빌리지 사거리,생활방범,2,200,360°(전방향),30,2018-06,052-290-3203,35.563726,129.341161,2020-03-13
"울산광역시 중구",울산광역시 중구 구교12길40 구교쉼터앞사거리,울산광역시 중구 반구동 28-1 구교쉼터앞사거리,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.564955,129.340101,2020-03-13
"울산광역시 중구",울산광역시 중구 구교13길36 화이트빌,울산광역시 중구 반구동 22-32 화이트빌,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.566173,129.340766,2020-03-13
"울산광역시 중구",울산광역시 중구 구교1길10 우리들마트앞,울산광역시 중구 반구동 250-2 우리들마트앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.560887,129.339888,2020-03-13
"울산광역시 중구",울산광역시 중구 구교2길15 대일기업앞,울산광역시 중구 반구동 226-7 대일기업앞,생활방범,1,200,360°(전방향),30,2018-12,052-290-3203,35.561883,129.339802,2020-03-13
"울산광역시 중구",울산광역시 중구 구교3길23-1 골목길,울산광역시 중구 반구동 46-15 골목길,생활방범,2,200,360°(전방향),30,2018-05,052-290-3203,35.562976,129.340851,2020-03-13
"울산광역시 중구",울산광역시 중구 구교5길30 주민센터 앞,울산광역시 중구 반구동 45-4 주민센터 앞,생활방범,1,200,360°(전방향),30,2018-11,052-290-3203,35.564031,129.340532,2020-03-13
"울산광역시 중구",울산광역시 중구 구교6길6 이주아트빌,울산광역시 중구 반구동 57-5 이주아트빌,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.563045,129.337958,2020-03-13
"울산광역시 중구",울산광역시 중구 구교6길67 화용세탁앞,울산광역시 중구 반구동 24-7 화용세탁앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.565209,129.341568,2020-03-13
"울산광역시 중구",울산광역시 중구 구교8길87 빅세일마트앞,울산광역시 중구 반구동 22-14 빅세일마트앞,생활방범,1,130,360°(전방향),30,2018-06,052-290-3203,35.566786,129.341929,2020-03-13
"울산광역시 중구",울산광역시 중구 구루미2길61-1 주택앞,울산광역시 중구 다운동 596-21 주택앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.558718,129.269224,2020-03-13
"울산광역시 중구",울산광역시 중구 구루미5길59 구름공원,울산광역시 중구 다운동 602-8구름공원,생활방범,5,200,공원내부,30,2018-06,052-290-3203,35.557122,129.270206,2020-03-13
"울산광역시 중구",울산광역시 중구 구루미8길29 좋은날헤어샵앞,울산광역시 중구 다운동 598-1 좋은날헤어샵앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.558383,129.270275,2020-03-13
"울산광역시 중구",울산광역시 중구 구역전1길19 신중앙시장옆,울산광역시 중구 학산동 66-41 신중앙시장옆,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.554471,129.326224,2020-03-13
"울산광역시 중구",울산광역시 중구 구역전길25 코코타운지하주차장앞,울산광역시 중구 학산동 75-1 코코타운지하주차장앞,생활방범,1,130,360°(전방향),30,2018-05,052-290-3203,35.556115,129.321718,2020-03-13
"울산광역시 중구",울산광역시 중구 구역전길25 코코타운앞,울산광역시 중구 학산동 75-1 코코타운앞,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.563005,129.321845,2020-03-13
"울산광역시 중구",울산광역시 중구 기상대길10-4 방통대학습관앞,울산광역시 중구 북정동 80-6 방통대학습관앞,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.559513,129.320058,2020-03-13
"울산광역시 중구",울산광역시 중구 기상대길7 울산기상대앞,울산광역시 중구 북정동 315-4 울산기상대앞,생활방범,1,130,360°(전방향),30,2018-05,052-290-3203,35.560686,129.314976,2020-03-13
"울산광역시 중구",울산광역시 중구 난곡10길22 홍보공원,울산광역시 중구 태화동 928-1 홍보공원,생활방범,2,130,공원내부,30,2018-06,052-290-3203,35.556395,129.278972,2020-03-13
"울산광역시 중구",울산광역시 중구 난곡15길25 태화세일마트앞,울산광역시 중구 태화동 901-6 태화세일마트앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.555661,129.281209,2020-03-13
"울산광역시 중구",울산광역시 중구 난곡15길4 누리봄빌앞,울산광역시 중구 태화동 927-11 누리봄빌앞,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.552173,129.291114,2020-03-13
"울산광역시 중구",울산광역시 중구 난곡15길51 대경롯데마트앞,울산광역시 중구 태화동 858-14 대경롯데마트앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.554998,129.283825,2020-03-13
"울산광역시 중구",울산광역시 중구 난곡4길25 주택가,울산광역시 중구 태화동 894-11 주택가,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.553555,129.295319,2020-03-13
"울산광역시 중구",울산광역시 중구 난곡7길5 주택앞 삼거리,울산광역시 중구 태화동 921-4 주택앞 삼거리,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.555317,129.280121,2020-03-13
"울산광역시 중구",울산광역시 중구 남외1길56 맞은편 사거리,울산광역시 중구 남외동 513-5 맞은편 사거리,어린이보호,1,200,360°(전방향),30,2018-01,052-290-3203,35.566869,129.350117,2020-03-13
"울산광역시 중구",울산광역시 중구 남외3길40 남외초등학교 후문공원,울산광역시 중구 남외동 502-2 남외초등학교 후문공원,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.566151,129.350259,2020-03-13
"울산광역시 중구",울산광역시 중구 남외3길50 남외푸르지오 2차입구 남외초등학교,울산광역시 중구 남외동 502-1 남외푸르지오 2차입구 남외초등학교,어린이보호,1,200,360°(전방향),30,2018-11,052-290-3203,35.565122,129.346441,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동501-2 해오름공원,울산광역시 중구 남외동501-2 해오름공원,생활방범,1,130,공원내부,30,2018-04,052-290-3203,35.567212,129.346298,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동502-1 남외초등학교[남외중학교정문앞],울산광역시 중구 남외동502-1 남외초등학교[남외중학교정문앞],어린이보호,1,130,360°(전방향),30,2018-06,052-290-3203,35.566888,129.348525,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동502-3 정지말공원,울산광역시 중구 남외동502-3 정지말공원,생활방범,1,200,공원내부,30,2018-01,052-290-3203,35.565771,129.349961,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동58-1 백조탕앞사거리,울산광역시 중구 남외동58-1 백조탕앞사거리,생활방범,2,200,360°(전방향),30,2018-06,052-290-3203,35.577494,129.342949,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동73 보람빌라 앞,울산광역시 중구 남외동73 보람빌라 앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.573009,129.344082,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동8-8 곽남공원,울산광역시 중구 남외동8-8 곽남공원,생활방범,1,130,공원내부,30,2018-01,052-290-3203,35.575267,129.341649,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동964 강변산책로 1,울산광역시 중구 남외동964 강변산책로,생활방범,2,200,360°(전방향),30,2018-11,052-290-3203,35.565917,129.352514,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동996-8 남외공원,울산광역시 중구 남외동996-8 남외공원,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.564777,129.344431,2020-03-13
"울산광역시 중구",울산광역시 중구 남외동996-9 남외공원,울산광역시 중구 남외동996-9 남외공원,생활방범,2,130,공원내부,30,2018-06,052-290-3203,35.565111,129.344478,2020-03-13
"울산광역시 중구",울산광역시 중구 남외초등학교 정문,울산광역시 중구 남외초등학교 정문,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.566119,129.347951,2020-03-13
"울산광역시 중구",울산광역시 중구 내오산로11 청송숯불갈비앞,울산광역시 중구 태화동 942-22 청송숯불갈비앞,생활방범,4,200,360°(전방향),30,2018-04,052-290-3203,35.554887,129.277295,2020-03-13
"울산광역시 중구",울산광역시 중구 내황10길16 울산중앙여고 인근,울산광역시 중구 반구동 770-7울산중앙여고 인근,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.553877,129.343483,2020-03-13
"울산광역시 중구",울산광역시 중구 내황12길26 수정세탁앞,울산광역시 중구 반구동 771-21 수정세탁앞,생활방범,1,200,360°(전방향),30,2018-11,052-290-3203,35.552978,129.346067,2020-03-13
"울산광역시 중구",울산광역시 중구 내황13길8 글로리아맨션앞,울산광역시 중구 반구동 592-26 글로리아맨션앞,어린이보호,1,200,360°(전방향),30,2018-11,052-290-3203,35.554278,129.346908,2020-03-13
"울산광역시 중구",울산광역시 중구 내황16길9 우성빌라앞,울산광역시 중구 반구동 508우성빌라앞,생활방범,2,200,360°(전방향),30,2018-04,052-290-3203,35.558139,129.341553,2020-03-13
"울산광역시 중구",울산광역시 중구 내황1길1 중앙여고동편,울산광역시 중구 반구동 594-12 중앙여고동편,생활방범,2,130,360°(전방향),30,2018-05,052-290-3203,35.553666,129.344746,2020-03-13
"울산광역시 중구",울산광역시 중구 내황2길86 내황초등학교 입구사거리,울산광역시 중구 반구동 390 내황초등학교 입구사거리,어린이보호,1,200,360°(전방향),30,2018-01,052-290-3203,35.552724,129.348329,2020-03-13
"울산광역시 중구",울산광역시 중구 내황3길70 내황초등학교 정남아파트5동 옆,울산광역시 중구 내황3길70 내황초등학교 정남아파트5동 옆,어린이보호,1,200,360°(전방향),30,2018-11,052-290-3203,35.552478,129.347385,2020-03-13
"울산광역시 중구",울산광역시 중구 내황4길38 대한노인회관앞,울산광역시 중구 반구동 785-1 대한노인회관앞,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.552299,129.343355,2020-03-13
"울산광역시 중구",울산광역시 중구 내황4길44 진성아트빌라,울산광역시 중구 반구동 785-4 진성아트빌라,생활방범,1,130,360°(전방향),30,2018-06,052-290-3203,35.552346,129.344062,2020-03-13
"울산광역시 중구",울산광역시 중구 내황6길52 천지강변뒤,울산광역시 중구 반구동 794-1 천지강변뒤,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.551278,129.344402,2020-03-13
"울산광역시 중구",울산광역시 중구 내황7길19 KT사택앞,울산광역시 중구 학성동 203-3 KT사택앞,생활방범,4,200,360°(전방향),30,2018-04,052-290-3203,35.553663,129.335165,2020-03-13
"울산광역시 중구",울산광역시 중구 다운13길6 다운초등학교 후문 교내[다인마트앞],울산광역시 중구 다운동 810-10 다운초등학교 후문 교내[다인마트앞],어린이보호,1,200,360°(전방향),30,2018-01,052-290-3203,35.561771,129.266713,2020-03-13
"울산광역시 중구",울산광역시 중구 다운5길16-2 꽃초롱어린이집,울산광역시 중구 다운동 770-5 꽃초롱어린이집,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.563461,129.267698,2020-03-13
"울산광역시 중구",울산광역시 중구 다운5길40 새울산유치원앞,울산광역시 중구 다운동 765-2 새울산유치원앞,어린이보호,1,200,360°(전방향),30,2018-11,052-290-3203,35.565267,129.267111,2020-03-13
"울산광역시 중구",울산광역시 중구 다운7길20-1 다운초등학교 남동측,울산광역시 중구 다운동 812-7 다운초등학교 남동측,어린이보호,1,200,360°(전방향),30,2018-01,052-290-3203,35.560853,129.267572,2020-03-13
"울산광역시 중구",울산광역시 중구 다운7길75 다운삼거리,울산광역시 중구 다운동 819-3 다운삼거리,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.559974,129.264897,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동516-1 운곡공원,울산광역시 중구 다운동516-1 운곡공원,생활방범,1,130,공원내부,30,2018-04,052-290-3203,35.558702,129.274873,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동519-10 척과공원,울산광역시 중구 다운동519-10 척과공원,생활방범,2,130,공원내부,30,2018-06,052-290-3203,35.556228,129.276305,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동553 공터주차장앞,울산광역시 중구 다운동553 공터주차장앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.557751,129.276482,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동558-10 건너편 구름공원2,울산광역시 중구 다운동558-10 건너편 구름공원2,생활방범,1,200,공원내부,30,2018-01,052-290-3203,35.555924,129.275112,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동558-6 다운자전거연습장,울산광역시 중구 다운동558-6 다운자전거연습장,생활방범,1,200,360°(전방향),30,2018-11,052-290-3203,35.555481,129.274373,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동565-1 명송농원,울산광역시 중구 다운동565-1 명송농원,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.557652,129.272871,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동579 구루미공원,울산광역시 중구 다운동579 구루미공원,생활방범,1,130,공원내부,30,2018-04,052-290-3203,35.560417,129.269372,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동600-10 양지공원,울산광역시 중구 다운동600-10 양지공원,생활방범,1,130,공원내부,30,2018-04,052-290-3203,35.556751,129.271361,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동604-1 구름공원,울산광역시 중구 다운동604-1 구름공원,생활방범,1,41,공원내부,30,2018-01,052-290-3203,35.556741,129.270469,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동604-1 구름공원1,울산광역시 중구 다운동604-1 구름공원1,생활방범,1,200,공원내부,30,2018-01,052-290-3203,35.556205,129.271711,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동667-2 다전초등학교 신호기옆,울산광역시 중구 다운동667-2 다전초등학교 신호기옆,어린이보호,1,100,360°(전방향),30,2018-01,052-290-3203,35.568365,129.269226,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동681 다전생태공원 터널앞,울산광역시 중구 다운동681 다전생태공원 터널앞,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.565616,129.271111,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동681 다전생태공원 화장실옆,울산광역시 중구 다운동681 다전생태공원 화장실옆,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.565795,129.269261,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동686-1 다전생태공원 다리옆,울산광역시 중구 다운동686-1 다전생태공원 다리옆,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.566957,129.267911,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동686-1 다전초등학교 남측,울산광역시 중구 다운동686-1 다전초등학교 남측,어린이보호,1,200,360°(전방향),30,2018-01,052-290-3203,35.566533,129.266952,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동686-1 다전초등학교[후문공원 내],울산광역시 중구 다운동686-1 다전초등학교[후문공원 내],어린이보호,1,130,360°(전방향),30,2018-06,052-290-3203,35.567115,129.269027,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동702 동아아파트103동앞,울산광역시 중구 다운동702 동아아파트103동앞,생활방범,1,130,360°(전방향),30,2018-05,052-290-3203,35.568178,129.266503,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동768 다운아파트103동후문,울산광역시 중구 다운동768 다운아파트103동후문,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.563586,129.269089,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동769-1 다운아파트103동 뒤편,울산광역시 중구 다운동769-1 다운아파트103동 뒤편,생활방범,2,200,공원내부,30,2018-05,052-290-3203,35.564049,129.268451,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동776-9 다운초등학교,울산광역시 중구 다운동776-9 다운초등학교,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.561986,129.268257,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동776-9 다운초등학교 통문장영어,울산광역시 중구 다운동776-9 다운초등학교 통문장영어,어린이보호,1,100,360°(전방향),30,2018-01,052-290-3203,35.562728,129.267776,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동800 다정공원,울산광역시 중구 다운동800 다정공원,생활방범,1,130,공원내부,30,2018-01,052-290-3203,35.563671,129.265491,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동849 다운초등학교 인근,울산광역시 중구 다운동849 다운초등학교 인근,어린이보호,4,200,360°(전방향),30,2018-12,052-290-3203,35.562273,129.267336,2020-03-13
"울산광역시 중구",울산광역시 중구 다운동991 울주캐빈하우스,울산광역시 중구 다운동991 울주캐빈하우스,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.583454,129.265214,2020-03-13
"울산광역시 중구",울산광역시 중구 다운로87 다운치안센터뒤,울산광역시 중구 다운동 543-1다운치안센터뒤,생활방범,1,200,360°(전방향),30,2018-12,052-290-3203,35.561401,129.269057,2020-03-13
"울산광역시 중구",울산광역시 중구 단장2길19 약사초등학교,울산광역시 중구 단장2길19 약사초등학교,어린이보호,1,100,360°(전방향),30,2018-01,052-290-3203,35.567644,129.332674,2020-03-13
"울산광역시 중구",울산광역시 중구 당산3길14 다모아,울산광역시 중구 우정동 212-1 다모아,생활방범,1,200,360°(전방향),30,2018-11,052-290-3203,35.561968,129.308393,2020-03-13
"울산광역시 중구",울산광역시 중구 당산3길32 우정옥교새마을금고앞,울산광역시 중구 당산3길32 우정옥교새마을금고앞,생활방범,2,200,360°(전방향),30,2018-11,052-290-3203,35.556448,129.311057,2020-03-13
"울산광역시 중구",울산광역시 중구 당산4길88 우리장모텔,울산광역시 중구 우정동 276-78 우리장모텔,생활방범,1,130,360°(전방향),30,2018-06,052-290-3203,35.564013,129.313149,2020-03-13
"울산광역시 중구",울산광역시 중구 당산5길33 보라건재철물앞 정인유치원,울산광역시 중구 당산5길33 보라건재철물앞 정인유치원,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.554821,129.309898,2020-03-13
"울산광역시 중구",울산광역시 중구 당산5길7 우정시장내 범서숯불갈비옆,울산광역시 중구 당산5길7 우정시장내 범서숯불갈비옆,생활방범,1,200,360°(전방향),30,2018-11,052-290-3203,35.560454,129.310849,2020-03-13
"울산광역시 중구",울산광역시 중구 당산길20 구청아예식장입구,울산광역시 중구 당산길20 구청아예식장입구,생활방범,1,130,360°(전방향),30,2018-08,052-290-3203,35.557238,129.315953,2020-03-13
"울산광역시 중구",울산광역시 중구 대숲산책로동쪽,울산광역시 중구 대숲산책로동쪽,생활방범,1,130,공원내부,30,2018-01,052-290-3203,35.553025,129.300528,2020-03-13
"울산광역시 중구",울산광역시 중구 대숲산책로만남의광장,울산광역시 중구 대숲산책로만남의광장,생활방범,1,200,공원내부,30,2018-11,052-290-3203,35.546708,129.302061,2020-03-13
"울산광역시 중구",울산광역시 중구 대숲산책로서쪽,울산광역시 중구 대숲산책로서쪽,생활방범,1,130,공원내부,30,2018-01,052-290-3203,35.559191,129.305651,2020-03-13
"울산광역시 중구",울산광역시 중구 대숲산책로야외공연장,울산광역시 중구 대숲산책로야외공연장,생활방범,3,200,공원내부,30,2018-12,052-290-3203,35.548371,129.290806,2020-03-13
"울산광역시 중구",울산광역시 중구 대숲산책로전원타운앞,울산광역시 중구 대숲산책로전원타운앞,생활방범,3,130,공원내부,30,2018-01,052-290-3203,35.545659,129.296507,2020-03-13
"울산광역시 중구",울산광역시 중구 도서관길60 중부도서관입구,울산광역시 중구 도서관길60 중부도서관입구,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.554093,129.317351,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골15길1-13 동산떡방앗간,울산광역시 중구 복산동 361-31 동산떡방앗간,생활방범,2,200,360°(전방향),30,2018-05,052-290-3203,35.564979,129.330117,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골15길25 울산중학교 동남쪽,울산광역시 중구 복산동 84-13 울산중학교 동남쪽,생활방범,1,130,360°(전방향),30,2018-05,052-290-3203,35.565424,129.332806,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골15길3 동일빌라입구,울산광역시 중구 도화골15길3 동일빌라입구,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.560775,129.324329,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골1길44 코코헤어클럽맞은편,울산광역시 중구 복산동 188-14 코코헤어클럽맞은편,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.566004,129.334174,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골3길30 진주슈퍼,울산광역시 중구 복산동 211-6 진주슈퍼,생활방범,1,130,360°(전방향),30,2018-06,052-290-3203,35.568919,129.332769,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골4길2 미래공인중개사앞,울산광역시 중구 복산동 192-8 미래공인중개사앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.565193,129.331704,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골4길69 가나몬테소리,울산광역시 중구 도화골4길69 가나몬테소리,어린이보호,1,200,360°(전방향),30,2018-01,052-290-3203,35.560867,129.331181,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골5길4 병천순대국밥앞,울산광역시 중구 복산동 190-9 병천순대국밥앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.562974,129.331991,2020-03-13
"울산광역시 중구",울산광역시 중구 도화골8길14 도화공원 내,울산광역시 중구 도화골8길14 도화공원 내,생활방범,4,200,공원내부,30,2018-12,052-290-3203,35.566104,129.331724,2020-03-13
